timestamp,value
1764019471.4278054,294.0
1764019471.4278054,316.0
1764019471.4278054,363.0
1764019471.4278054,416.0
1764019471.4278054,445.0
1764019471.4278054,447.0
1764019471.4278054,427.0
1764019471.4278054,384.0
1764019471.4278054,355.0
1764019471.4278054,355.0
1764019471.4278054,378.0
1764019471.4278054,424.0
1764019471.4278054,464.0
1764019471.4278054,482.0
1764019471.4278054,459.0
1764019471.4278054,399.0
1764019471.4278054,349.0
1764019471.4278054,338.0
1764019471.4278054,358.0
1764019471.4278054,407.0
1764019471.4278054,434.0
1764019471.4278054,430.0
1764019471.4278054,404.0
1764019471.4298182,344.0
1764019471.4298182,305.0
1764019471.4298182,309.0
1764019471.4298182,344.0
1764019471.4298182,411.0
1764019471.5245898,445.0
1764019471.5245898,435.0
1764019471.5245898,380.0
1764019471.5245898,322.0
1764019471.5245898,296.0
1764019471.5245898,306.0
1764019471.5245898,350.0
1764019471.5245898,416.0
1764019471.5245898,459.0
1764019471.5245898,466.0
1764019471.5245898,414.0
1764019471.5376012,355.0
1764019471.5376012,356.0
1764019471.5376012,389.0
1764019471.5413983,458.0
1764019471.5413983,520.0
1764019471.5413983,551.0
1764019471.5413983,508.0
1764019471.5413983,471.0
1764019471.5413983,459.0
1764019471.5424736,466.0
1764019471.5424736,505.0
1764019471.5424736,567.0
1764019471.5424736,603.0
1764019471.5424736,589.0
1764019471.5424736,550.0
1764019471.5424736,506.0
1764019471.543034,498.0
1764019471.5455675,515.0
1764019471.5455675,573.0
1764019471.5455675,634.0
1764019471.5455675,625.0
1764019471.5455675,568.0
1764019471.5455675,548.0
1764019471.5455675,556.0
1764019471.5455675,537.0
1764019471.5455675,584.0
1764019471.5465834,659.0
1764019471.5465834,660.0
1764019471.5465834,643.0
1764019471.5465834,573.0
1764019471.5465834,558.0
1764019471.5465834,552.0
1764019471.5465834,613.0
1764019471.5491493,661.0
1764019471.5491493,682.0
1764019471.562212,677.0
1764019471.562212,655.0
1764019471.562212,655.0
1764019471.562212,640.0
1764019471.562212,621.0
1764019471.562212,629.0
1764019471.562212,632.0
1764019471.562212,661.0
1764019471.562212,689.0
1764019471.563946,671.0
1764019471.563946,635.0
1764019471.5644152,612.0
1764019471.5644152,651.0
1764019471.5644152,756.0
1764019471.5644152,744.0
1764019471.5654445,708.0
1764019471.5654445,724.0
1764019471.5654445,682.0
1764019471.5654445,611.0
1764019471.5670161,540.0
1764019471.5670161,475.0
1764019471.5670161,551.0
1764019471.568594,588.0
1764019471.568594,613.0
1764019471.568594,601.0
1764019471.568594,624.0
1764019471.568594,648.0
1764019471.568594,590.0
1764019471.5703995,549.0
