timestamp,value,gesture
1764099393.3518786,165.0,shoot
1764019553.2388427,413.0,round
1764099416.3918238,582.0,shoot
1764020221.78309,707.0,shoot
1764019528.290748,1.0,round
1764020198.485968,652.0,shoot
1764099149.2918546,327.0,round
1764019517.7442307,104.0,round
1764099387.0193908,655.0,shoot
1764019490.923519,500.0,round
1764019554.34902,893.0,round
1764019507.346871,122.0,round
1764020197.1899364,0.0,shoot
1764099392.307466,198.0,shoot
1764099120.437428,607.0,round
1764020234.135696,234.0,shoot
1764099363.0002284,615.0,shoot
1764019487.2439356,741.0,round
1764019537.388634,1.0,round
1764099464.7479415,8.0,up_down
1764019492.3463564,219.0,round
1764099491.5737455,23.0,up_down
1764020150.6506643,437.0,up_down
1764099387.1188498,642.0,shoot
1764020235.2883987,698.0,shoot
1764020214.3721268,539.0,shoot
1764019507.074143,65.0,round
1764020144.0394163,697.0,up_down
1764019492.7863688,655.0,round
1764099107.0912142,495.0,round
1764020102.310005,524.0,up_down
1764099102.922423,771.0,round
1764020118.3693707,693.0,up_down
1764099361.407532,388.0,shoot
1764099131.5867567,541.0,round
1764020149.481954,650.0,up_down
1764020208.7927475,810.0,shoot
1764019553.5925252,631.0,round
1764099373.6129837,695.0,shoot
1764099394.1493428,539.0,shoot
1764019512.5607817,1023.0,round
1764019492.2279377,482.0,round
1764099381.661801,415.0,shoot
1764099497.4325442,1023.0,up_down
1764099115.0720394,400.0,round
1764020098.596961,540.0,up_down
1764020095.521153,702.0,up_down
1764099478.95539,421.0,up_down
1764019534.752525,1.0,round
1764099143.3739018,506.0,round
1764020210.9268403,394.0,shoot
1764019545.9248905,894.0,round
1764099416.805261,152.0,shoot
1764099407.541844,344.0,shoot
1764019548.7026176,902.0,round
1764099140.9709747,519.0,round
1764099389.5580306,769.0,shoot
1764020150.679683,402.0,up_down
1764019534.9141035,0.0,round
1764019516.4195547,331.0,round
1764099471.3939674,331.0,up_down
1764019548.730657,740.0,round
1764099383.0089023,761.0,shoot
1764099500.2782838,1023.0,up_down
1764099386.1039958,571.0,shoot
1764020230.3985598,237.0,shoot
1764019481.198274,177.0,round
1764020209.5086136,693.0,shoot
1764099120.9551551,514.0,round
1764019533.3132129,1023.0,round
1764099142.025914,419.0,round
1764099470.681737,0.0,up_down
1764020114.0714943,698.0,up_down
