timestamp,value
1764099102.141402,633.0
1764099102.1420836,674.0
1764099102.1426408,636.0
1764099102.1429722,561.0
1764099102.143262,483.0
1764099102.1435888,372.0
1764099102.144289,350.0
1764099102.1446173,434.0
1764099102.1449666,551.0
1764099102.1454277,658.0
1764099102.1459768,670.0
1764099102.1463091,621.0
1764099102.146596,530.0
1764099102.146873,448.0
1764099102.147167,355.0
1764099102.1474774,359.0
1764099102.147822,455.0
1764099102.1480927,568.0
1764099102.1484683,672.0
1764099102.1488125,671.0
1764099102.1490934,611.0
1764099102.1493554,526.0
1764099102.1497207,420.0
1764099102.150034,342.0
1764099102.1504173,371.0
1764099102.1507113,486.0
1764099102.1511872,583.0
1764099102.1515875,667.0
1764099102.1527572,655.0
1764099102.1531916,590.0
1764099102.1535547,512.0
1764099102.1538713,413.0
1764099102.1541784,342.0
1764099102.154468,386.0
1764099102.1547632,504.0
1764099102.155021,612.0
1764099102.1552563,679.0
1764099102.1554892,654.0
1764099102.1557403,579.0
1764099102.1559777,499.0
1764099102.156281,391.0
1764099102.1565702,340.0
1764099102.1568546,402.0
1764099102.157128,523.0
1764099102.1574013,629.0
1764099102.1576896,681.0
1764099102.1579792,638.0
1764099102.158257,567.0
1764099102.158512,486.0
1764099102.158682,369.0
1764099102.1590147,343.0
1764099102.1593177,420.0
1764099102.1595373,537.0
1764099102.1596954,650.0
1764099102.1605587,667.0
1764099102.1610074,628.0
1764099102.1613538,551.0
1764099102.1616228,464.0
1764099102.16209,358.0
1764099102.1624532,347.0
1764099102.1627886,442.0
1764099102.1632018,551.0
1764099102.1635115,666.0
1764099102.186027,660.0
1764099102.1873488,613.0
1764099102.1889071,538.0
1764099102.189599,438.0
1764099102.1901972,350.0
1764099102.1908405,367.0
1764099102.191441,479.0
1764099102.1922495,590.0
1764099102.1936138,673.0
1764099102.19405,656.0
1764099102.1947358,590.0
1764099102.1955245,515.0
1764099102.1962268,422.0
1764099102.1968362,341.0
1764099102.197452,377.0
1764099102.198081,492.0
1764099102.1991267,603.0
1764099102.2009535,671.0
1764099102.2019472,658.0
1764099102.2034688,594.0
1764099102.2050955,515.0
1764099102.2120025,407.0
1764099102.2257915,339.0
1764099102.226447,385.0
1764099102.226941,499.0
1764099102.227482,617.0
1764099102.2411036,682.0
1764099102.2425294,651.0
1764099102.244946,567.0
1764099102.247326,499.0
1764099102.2488918,392.0
1764099102.2520747,342.0
1764099102.2540877,400.0
1764099102.2567978,508.0
1764099102.2594132,650.0
1764099102.2681308,686.0
1764099102.26876,643.0
1764099102.2697816,558.0
1764099102.2704756,462.0
1764099102.2763212,366.0
1764099102.2797043,352.0
1764099102.2829852,440.0
1764099102.284592,555.0
1764099102.2861335,662.0
1764099102.292875,671.0
1764099102.2954648,610.0
1764099102.296134,533.0
1764099102.2967446,441.0
1764099102.2975752,347.0
1764099102.299138,353.0
1764099102.299732,463.0
1764099102.3000755,575.0
1764099102.3003714,672.0
1764099102.3006842,666.0
1764099102.300988,603.0
1764099102.3013365,523.0
1764099102.301729,420.0
1764099102.3020532,339.0
1764099102.3024755,364.0
1764099102.3030431,462.0
1764099102.3032243,584.0
1764099102.303406,674.0
1764099102.3035984,663.0
1764099102.3038125,598.0
1764099102.304047,518.0
1764099102.3042421,412.0
1764099102.3044698,340.0
1764099102.3046389,378.0
1764099102.3047986,484.0
1764099102.3049486,590.0
1764099102.3050966,653.0
1764099102.305254,643.0
1764099102.3054183,591.0
1764099102.3055687,515.0
1764099102.3057263,405.0
1764099102.3059554,344.0
1764099102.3062549,395.0
1764099102.3065119,513.0
1764099102.3067763,622.0
1764099102.3070347,677.0
1764099102.3073049,644.0
1764099102.3075855,566.0
1764099102.3078525,482.0
1764099102.3080523,381.0
1764099102.3083894,338.0
1764099102.3086922,402.0
1764099102.3090074,525.0
1764099102.3093417,640.0
1764099102.3097656,677.0
1764099102.3100777,626.0
1764099102.3104954,558.0
1764099102.3108048,471.0
1764099102.311099,362.0
1764099102.3114247,345.0
1764099102.311754,443.0
1764099102.3120599,545.0
1764099102.3123705,655.0
1764099102.3126822,670.0
1764099102.3129752,620.0
1764099102.3132668,528.0
1764099102.3135917,430.0
