timestamp,value
1764099461.517816,461.0
1764099461.51828,545.0
1764099461.5187297,635.0
1764099461.5191436,675.0
1764099461.5194492,661.0
1764099461.5196054,614.0
1764099461.5197468,529.0
1764099461.5198843,441.0
1764099461.5200205,415.0
1764099461.5201564,470.0
1764099461.5203378,558.0
1764099461.520521,648.0
1764099461.5207937,675.0
1764099461.5210905,652.0
1764099461.5213656,591.0gur 
1764099461.52169,499.0
1764099461.5220125,425.0
1764099461.522308,423.0
1764099461.522609,492.0
1764099461.5228918,587.0
1764099461.523249,654.0
1764099461.5237274,675.0
1764099461.5240326,645.0
1764099461.5243065,577.0
1764099461.524613,479.0
1764099461.5250733,420.0
1764099461.5253716,449.0
1764099461.525617,525.0
1764099461.5262482,616.0
1764099461.5265298,664.0
1764099461.5272348,663.0
1764099461.527578,622.0
1764099461.5278597,542.0
1764099461.528101,450.0
1764099461.5283318,414.0
1764099461.5285528,454.0
1764099461.528754,531.0
1764099461.52904,624.0
1764099461.5292568,669.0
1764099461.5294623,659.0
1764099461.5296707,611.0
1764099461.5300474,523.0
1764099461.5303748,434.0
1764099461.530776,414.0
1764099461.5312624,469.0
1764099461.5317683,556.0
1764099461.5321054,644.0
1764099461.5325918,672.0
1764099461.5329406,650.0
1764099461.5331972,592.0
1764099461.5334494,502.0
1764099461.5337486,426.0
1764099461.533994,420.0
1764099461.53424,484.0
1764099461.5344841,581.0
1764099461.5347204,651.0
1764099461.5349586,668.0
1764099461.5351987,641.0
1764099461.5354545,576.0
1764099461.5357084,480.0
1764099461.535945,417.0
1764099461.5361855,441.0
1764099461.5364301,506.0
1764099461.536683,603.0
1764099461.536951,661.0
1764099461.5372255,668.0
1764099461.537418,629.0
1764099461.5376647,546.0
1764099461.5379145,446.0
1764099461.5384037,409.0
1764099461.5388074,445.0
1764099461.539136,519.0
1764099461.5395103,616.0
1764099461.539895,664.0
1764099461.5402062,665.0
1764099461.540528,622.0
1764099461.5408604,542.0
1764099461.5412452,448.0
1764099461.5415719,411.0
1764099461.564367,451.0
1764099461.5651772,528.0
1764099461.5660737,624.0
1764099461.566863,666.0
1764099461.567697,661.0
1764099461.568353,613.0
1764099461.5691721,527.0
1764099461.5697207,438.0
1764099461.5702667,411.0
1764099461.5708296,462.0
1764099461.5714316,541.0
1764099461.5720303,631.0
1764099461.5727181,667.0
1764099461.573079,655.0
1764099461.573277,605.0
1764099461.573589,516.0
1764099461.5739694,431.0
1764099461.5743818,413.0
1764099461.575665,465.0
1764099461.576377,552.0
1764099461.5771656,635.0
1764099461.5791912,670.0
1764099461.58447,654.0
1764099461.5849013,596.0
1764099461.594156,503.0
1764099461.5947669,423.0
1764099461.5951805,413.0
1764099461.5956428,474.0
1764099461.5963368,572.0
1764099461.6088834,647.0
1764099461.6113024,670.0
1764099461.6150906,644.0
1764099461.616677,578.0
1764099461.6181242,480.0
1764099461.619593,410.0
1764099461.621091,414.0
1764099461.6224306,488.0
1764099461.6247327,585.0
1764099461.6270373,653.0
1764099461.6356661,669.0
1764099461.6362665,636.0
1764099461.6373272,568.0
1764099461.638011,470.0
1764099461.6435473,409.0
1764099461.646118,428.0
1764099461.6479614,504.0
1764099461.6499398,602.0
1764099461.6522262,652.0
1764099461.6528146,661.0
1764099461.6598568,629.0
1764099461.6626916,548.0
1764099461.6633182,443.0
1764099461.664086,408.0
1764099461.6646767,458.0
1764099461.6652155,549.0
1764099461.6667006,639.0
1764099461.667343,669.0
1764099461.6676445,646.0
1764099461.6679466,588.0
1764099461.6682217,489.0
1764099461.6684968,415.0
1764099461.6687696,418.0
1764099461.6690483,474.0
1764099461.6693976,570.0
1764099461.6696868,649.0
1764099461.6699593,667.0
1764099461.670186,635.0
1764099461.6704102,567.0
1764099461.6707015,467.0
1764099461.6709728,404.0
1764099461.6712255,418.0
1764099461.671502,486.0
1764099461.6717567,587.0
1764099461.672004,655.0
1764099461.6722515,667.0
1764099461.6725142,629.0
1764099461.6728935,555.0
1764099461.6731513,452.0
1764099461.6734235,397.0
1764099461.6737661,431.0
